Company,Global_Head,Region,Country,City,Depot_ID,Depot_Name,Vehicle_ID,Vehicle_Type,Fuel_Type,Vehicle_Capacity_Kg,Driver_ID,Driver_Name,Driver_Experience_Years,Trip_ID,Trip_Date,Month_Name,Quarter,Day_of_Week,Route_ID,Route_Name,Planned_Distance_KM,Actual_Distance_KM,Planned_Duration_Min,Actual_Duration_Min,Fuel_Consumed_Liters,Energy_Used_kWh,Fuel_Efficiency,Fuel_Efficiency_Unit,Deliveries_Planned,Deliveries_Completed,Deliveries_Failed,On_Time_Delivery,Vehicle_Downtime_Minutes,Downtime_Reason,Idle_Time_Minutes,Safety_Incident_Flag,Incident_Type,Load_Weight_Kg,Load_Utilization_Percent,Route_Efficiency_Score,CO2_Emissions_Kg,Cost_per_KM_USD,Total_Trip_Cost_USD
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0002,Box Truck,Diesel,4500,DRV0003,Maria Garcia,5.5,TRIP600091,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-West,Route-West,80.4,79.7,129.0,125.2,12.24,0.0,6.51,km/L,15,14,1,No,10.2,Loading/Unloading Delay,6.9,No,None,1650.2,36.67,103.94,32.8,0.444,48.65
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0003,Delivery Van,Diesel,1200,DRV0004,Alex Garcia,9.7,TRIP600193,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Express,Route-Express,113.6,114.9,132.4,160.7,6.4,0.0,17.96,km/L,19,19,0,Yes,3.7,No Downtime,18.8,No,None,992.1,82.67,81.46,17.15,0.654,82.87
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Dallas,DEP001,Dallas Distribution Depot,VEH0004,Box Truck,Diesel,4500,DRV0005,Tom Rossi,2.0,TRIP600286,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-North,Route-North,153.8,151.8,169.5,211.0,16.03,0.0,9.47,km/L,17,15,2,No,157.1,Scheduled Maintenance,37.9,No,None,2292.0,50.93,81.39,42.96,0.895,153.44
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Chicago,DEP002,Chicago Distribution Depot,VEH0006,Two-Wheeler (Last Mile),Petrol,40,DRV0007,Raj Nguyen,11.3,TRIP600491,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-West,Route-West,195.3,208.0,267.1,282.5,5.73,0.0,36.29,km/L,10,9,1,No,81.2,Vehicle Breakdown,18.3,No,None,23.0,57.5,88.78,15.36,0.492,109.39
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,USA,Chicago,DEP002,Chicago Distribution Depot,VEH0008,Refrigerated Truck,Diesel,5000,DRV0009,Wei Clark,0.8,TRIP600691,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Central,Route-Central,167.3,167.1,237.0,282.3,21.9,0.0,7.63,km/L,9,9,0,Yes,22.7,Loading/Unloading Delay,5.8,No,None,3859.8,77.2,84.05,58.69,0.632,133.12
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Toronto,DEP003,Toronto Distribution Depot,VEH0011,Delivery Van,Diesel,1200,DRV0012,Tom Singh,9.3,TRIP600981,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Express,Route-Express,219.4,233.1,322.3,376.0,15.51,0.0,15.03,km/L,11,10,1,No,4.3,No Downtime,10.3,No,None,690.0,57.5,80.68,41.57,0.452,123.09
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Toronto,DEP003,Toronto Distribution Depot,VEH0012,Two-Wheeler (Last Mile),Petrol,40,DRV0013,John Ito,13.2,TRIP601083,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-East,Route-East,187.2,189.2,215.0,252.0,4.89,0.0,38.67,km/L,24,22,2,No,4.8,No Downtime,20.2,Yes,Near Miss,26.4,66.0,84.42,13.11,0.834,163.86
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Vancouver,DEP004,Vancouver Distribution Depot,VEH0013,Refrigerated Truck,Diesel,5000,DRV0014,Carlos Meyer,1.4,TRIP601186,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Express,Route-Express,70.4,72.1,78.4,78.8,13.97,0.0,5.16,km/L,21,21,0,Yes,0.5,No Downtime,18.7,No,None,4453.3,89.07,97.15,37.44,0.89,81.13
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Vancouver,DEP004,Vancouver Distribution Depot,VEH0014,Two-Wheeler (Last Mile),Petrol,40,DRV0015,Aisha Singh,13.3,TRIP601289,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Central,Route-Central,170.0,178.2,221.3,270.0,4.69,0.0,37.98,km/L,14,12,2,No,38.9,Traffic Delay,37.7,No,None,33.5,83.75,78.19,12.57,0.509,96.09
SwiftHaul Logistics Ltd. (Fictional Dummy Company),Global Fleet Operations Head - SwiftHaul,North America,Canada,Vancouver,DEP004,Vancouver Distribution Depot,VEH0015,Delivery Van,Diesel,1200,DRV0016,Maria Ahmed,1.4,TRIP601388,2026-01-01,Jan-2026,Q1,Thursday,RT-Route-Central,Route-Central,148.5,152.5,177.1,194.5,8.99,0.0,16.97,km/L,7,6,1,No,1.3,No Downtime,30.6,No,None,946.9,78.91,88.67,24.09,0.758,125.14
